texte,label_fluting,label_pm2_kraft,label_pm2_kraft_export,label_pm3_fluting,label_sotikraft,label_test_color,label_testliner
agent collage asa [contexte: ],0,1,1,0,0,0,0
agent de collage [contexte: ],0,0,0,0,1,1,1
biocide ratio [contexte: ],1,1,1,1,1,1,1
defoamer 1 (afranil) [contexte: ],1,1,1,1,1,1,1
defoamer 2 (erol) [contexte: ],0,0,0,1,1,1,1
fiber ratio [contexte: ],1,1,1,1,1,1,1
flocon pulp ratio [contexte: ],0,1,1,0,0,0,0
krofta polymer ratio [contexte: ],1,1,1,1,1,1,1
pac [contexte: ],0,0,0,0,1,1,1
prestige cleaning aids ratio (prestige) [contexte: ],1,1,1,0,0,0,0
pulp ratio [contexte: ],0,1,0,0,0,0,0
retention aids ratio [contexte: ],1,1,1,1,1,1,1
size press [contexte: ],0,0,0,0,0,1,0
standard pulp ratio [contexte: ],0,1,1,0,0,0,0
starch cationic ratio [contexte: ],1,1,1,1,1,1,1
starch oxidized ratio [contexte: ],1,0,0,0,1,0,0
wet end [contexte: ],0,0,0,0,1,1,0
waste paper ratio [contexte: ],1,1,0,1,1,1,1
size press [contexte: boucle de régulation],0,0,0,1,0,0,0
potentiel zeta [contexte: hydrocyclone],0,0,0,0,1,0,0
concentration de la pâte (consistance) [contexte: bac à eaux blanches],1,0,0,0,0,1,0
température de séchage [contexte: section des presses],0,0,0,0,1,0,0
biocide oxydant [contexte: zone de raffinage],0,0,0,0,0,0,0
polymère de rétention cationique [contexte: bac à eaux blanches],0,0,0,0,1,1,0
epaisseur (caliper) [contexte: section des presses],0,1,0,0,0,0,0
dispersant synthétique [contexte: boucle de régulation],1,1,0,1,0,0,0
colorant bleu direct [contexte: table de fabrication],0,1,0,0,0,1,0
colorant jaune basique [contexte: circuit court],0,0,0,0,0,0,0
amidon natif de maïs [contexte: circuit long],1,1,0,0,0,0,1
standard pulp ratio [contexte: pompe B],0,0,0,0,0,0,0
pâte recyclée (occ) [contexte: cuvier de mélange],0,0,0,0,0,0,0
agent de collage akd [contexte: circuit court],0,1,1,0,1,0,1
polymère de rétention cationique [contexte: zone de raffinage],0,1,1,0,1,0,1
dispersant synthétique [contexte: station de dosage],0,0,0,0,0,0,0
conductivité [contexte: section des presses],1,0,0,0,1,0,0
colorant rouge acide [contexte: cuvier machine],0,1,0,0,0,0,0
humidité finale [contexte: cuvier machine],0,0,0,0,0,0,0
pac [contexte: pompe de transfert],0,1,0,0,0,1,1
retention aids ratio [contexte: préparation de la pâte],0,0,1,1,0,0,1
flocon pulp ratio [contexte: circuit long],0,1,0,0,0,0,0
vitesse machine [contexte: pompe de transfert],0,0,0,0,0,1,0
agent de collage colophane [contexte: stockage intermédiaire],0,0,1,0,0,0,0
dioxyde de titane (tio2) [contexte: section des presses],0,0,1,0,0,0,0
conductivité [contexte: circuit court],1,1,0,0,0,1,0
blancheur iso [contexte: stockage intermédiaire],0,0,0,0,0,1,0
fongicide [contexte: pompe de transfert],0,0,0,1,1,1,0
pulp ratio [contexte: hydrocyclone],0,1,0,0,0,1,0
anti-mousse silicone [contexte: v2],0,0,0,0,0,1,0
kaolin calciné [contexte: préparation de la pâte],0,0,0,0,1,0,0
azurant optique (oba) [contexte: v2],0,0,0,1,0,0,1
soude caustique (naoh) [contexte: ligne principale],0,0,0,0,0,1,0
flocon pulp ratio [contexte: pompe A],0,0,0,1,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: préparation de la pâte],0,1,0,1,0,1,0
retention aids ratio [contexte: stockage intermédiaire],0,0,0,0,0,0,0
fongicide [contexte: circuit long],0,0,0,0,0,0,0
defoamer 1 (afranil) [contexte: cuvier de mélange],0,0,1,0,0,0,0
defoamer 2 (erol) [contexte: circuit court],1,1,0,0,0,1,1
demande chimique en oxygène (dco) [contexte: cuvier de cassés],0,0,1,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: section des presses],0,0,0,1,0,0,0
size press [contexte: zone aspirante],0,0,1,0,0,1,1
colorant bleu direct [contexte: bobineuse],0,0,0,0,0,0,0
fiber ratio [contexte: hydrocyclone],0,0,0,0,0,0,0
pâte kraft blanchie de feuillus (bhkp) [contexte: pompe A],0,0,1,0,0,0,1
pulp ratio [contexte: section des presses],0,0,0,0,1,0,0
indice de déchirement [contexte: cuvier de mélange],0,0,1,0,1,0,1
dispersant synthétique [contexte: sécherie],0,0,1,0,0,0,0
eau de dilution [contexte: table de fabrication],0,1,1,0,0,0,0
ph de caisse de tête [contexte: caisse de tête],0,0,1,1,0,0,0
blancheur iso [contexte: table de fabrication],0,1,0,0,0,1,0
colorant rouge acide [contexte: pompe de transfert],1,0,0,0,1,0,0
fiber ratio [contexte: cuvier machine],0,0,0,0,1,0,0
sulfate d'aluminium (alun) [contexte: bac à eaux blanches],1,0,0,0,0,1,0
grammage cible [contexte: ],0,0,0,0,1,1,1
colorant jaune basique [contexte: pompe B],0,0,0,1,0,1,0
microparticules de silice [contexte: préparation de la pâte],1,0,0,1,0,0,0
demande chimique en oxygène (dco) [contexte: v2],0,0,0,0,0,0,0
soude caustique (naoh) [contexte: zone de raffinage],0,0,0,1,0,1,0
rugosité bendtsen [contexte: bobineuse],0,0,0,1,0,0,0
epaisseur (caliper) [contexte: table de fabrication],0,1,0,0,0,0,1
krofta polymer ratio [contexte: urgence],0,0,1,0,0,0,1
humidité finale [contexte: silo à pâte],0,0,0,0,0,0,0
biocide oxydant [contexte: pompe A],0,0,0,0,0,0,0
anti-mousse silicone [contexte: urgence],0,0,0,0,0,0,0
résine de résistance à sec [contexte: circuit long],0,0,0,0,1,0,0
pâte désencrée (dip) [contexte: pompe B],0,0,0,0,0,0,0
colorant jaune basique [contexte: boucle de régulation],1,1,0,0,0,0,0
pâte désencrée (dip) [contexte: préparation de la pâte],1,0,0,0,0,0,1
eau de dilution [contexte: pompe A],0,0,0,0,0,1,0
anti-mousse silicone [contexte: cuvier machine],0,0,0,1,0,0,1
pulp ratio [contexte: zone aspirante],1,0,0,0,0,0,1
conductivité [contexte: pompe de transfert],0,0,0,1,0,0,0
indice de déchirement [contexte: bobineuse],0,0,1,0,0,0,1
acide sulfurique [contexte: sécherie],0,0,0,1,1,1,1
concentration de la pâte (consistance) [contexte: hydrocyclone],0,1,1,1,0,0,0
epaisseur (caliper) [contexte: pompe A],0,0,0,0,0,1,1
soude caustique (naoh) [contexte: cuvier de cassés],0,1,0,0,0,0,0
agent de contrôle de la poix (talc) [contexte: sécherie],1,0,1,0,0,0,0
vitesse machine [contexte: ],1,0,0,1,0,0,0
carbonate de calcium (gcc) [contexte: sécherie],0,0,0,1,0,1,0
résine de résistance à sec [contexte: sécherie],0,0,0,0,0,0,0
indice de déchirement [contexte: silo à pâte],0,0,0,1,0,1,0
size press [contexte: section des presses],0,0,0,1,0,0,0
prestige cleaning aids ratio (prestige) [contexte: station de dosage],0,0,1,0,0,1,0
grammage cible [contexte: table de fabrication],0,0,0,0,0,0,0
température de séchage [contexte: pompe B],0,0,1,0,0,0,0
humidité finale [contexte: zone aspirante],0,0,1,0,0,0,1
polymère de rétention cationique [contexte: pompe A],0,0,0,0,0,0,0
starch cationic ratio [contexte: pompe A],0,0,1,1,0,0,1
pac [contexte: circuit long],1,0,0,0,0,1,0
anti-mousse silicone [contexte: section des presses],0,0,0,0,0,0,0
copes de bois [contexte: bobineuse],0,1,0,0,0,1,0
fongicide [contexte: urgence],0,1,0,0,0,0,0
conductivité [contexte: urgence],0,0,0,0,0,0,0
indice de déchirement [contexte: préparation de la pâte],0,0,0,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: zone aspirante],0,1,0,0,0,0,0
grammage cible [contexte: cuvier de mélange],0,1,1,1,0,1,0
azurant optique (oba) [contexte: bobineuse],0,0,0,0,0,1,0
conductivité [contexte: stockage intermédiaire],0,1,0,0,0,0,0
indice d'éclatement (burst) [contexte: table de fabrication],0,0,0,0,0,1,0
bentonite [contexte: silo à pâte],0,1,0,0,0,0,0
résine de résistance à l'état humide (pae) [contexte: zone aspirante],0,0,0,1,1,0,0
flocon pulp ratio [contexte: caisse de tête],0,0,0,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: sécherie],0,0,0,0,0,0,0
defoamer 1 (afranil) [contexte: caisse de tête],1,0,0,0,1,1,0
pâte kraft blanchie de feuillus (bhkp) [contexte: ],0,0,1,0,0,0,1
biocide oxydant [contexte: table de fabrication],0,0,0,1,0,0,0
opacité [contexte: station de dosage],0,0,0,0,0,0,0
retention aids ratio [contexte: bobineuse],0,0,0,0,1,1,0
concentration de la pâte (consistance) [contexte: circuit long],0,1,1,0,0,0,1
agent de contrôle de la poix (talc) [contexte: table de fabrication],0,0,0,0,0,0,0
kaolin calciné [contexte: circuit court],0,0,0,0,0,0,0
acide sulfurique [contexte: bobineuse],1,0,0,1,0,0,0
biocide non-oxydant [contexte: zone aspirante],0,0,1,1,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: hydrocyclone],1,0,0,0,0,0,0
amidon natif de maïs [contexte: ],0,0,1,0,1,0,0
anti-mousse à base d'huile [contexte: hydrocyclone],1,1,0,0,1,0,0
fongicide [contexte: circuit court],0,0,0,0,0,0,1
pac [contexte: zone de raffinage],0,0,0,0,1,0,0
pâte kraft blanchie de feuillus (bhkp) [contexte: zone aspirante],0,0,0,0,1,0,1
porosité gurley [contexte: zone de raffinage],1,0,0,0,1,1,0
carbonate de calcium (gcc) [contexte: zone aspirante],0,1,0,0,0,0,0
colorant bleu direct [contexte: pompe B],0,0,0,0,1,0,0
anti-mousse à base d'huile [contexte: cuvier de mélange],1,1,0,0,0,1,0
kaolin calciné [contexte: bobineuse],1,0,0,0,0,0,1
résine de résistance à l'état humide (pae) [contexte: v2],0,1,0,1,0,0,0
azurant optique (oba) [contexte: urgence],0,0,0,1,0,0,0
blancheur iso [contexte: zone de raffinage],1,0,0,1,1,0,0
defoamer 1 (afranil) [contexte: stockage intermédiaire],0,0,0,0,0,0,0
polymère de rétention cationique [contexte: v2],0,0,0,0,0,0,0
pâte recyclée (occ) [contexte: bobineuse],0,0,0,0,0,0,0
fiber ratio [contexte: préparation de la pâte],0,1,1,0,0,1,0
size press [contexte: silo à pâte],0,0,0,0,1,0,0
pression des presses [contexte: préparation de la pâte],0,0,1,0,0,0,0
biocide non-oxydant [contexte: épurateur],0,1,0,0,1,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: bac à eaux blanches],0,0,0,0,0,0,0
pression des presses [contexte: silo à pâte],0,1,0,1,1,0,0
pâte recyclée (occ) [contexte: station de dosage],0,1,0,0,0,1,0
azurant optique (oba) [contexte: circuit long],0,0,0,0,1,0,1
colorant rouge acide [contexte: zone de raffinage],1,0,0,0,0,0,0
résine de résistance à sec [contexte: cuvier de cassés],0,0,0,0,1,0,1
biocide ratio [contexte: section des presses],0,1,0,0,0,0,0
pâte recyclée (occ) [contexte: hydrocyclone],0,1,0,1,1,0,0
dispersant synthétique [contexte: pompe A],0,0,0,0,1,0,1
retention aids ratio [contexte: hydrocyclone],1,0,0,1,0,0,1
grammage cible [contexte: hydrocyclone],0,0,0,0,0,0,0
pression des presses [contexte: pompe de transfert],0,0,1,1,0,1,0
grammage cible [contexte: bobineuse],0,1,0,0,0,1,1
epaisseur (caliper) [contexte: cuvier de mélange],0,1,0,0,0,0,0
concentration de la pâte (consistance) [contexte: zone de raffinage],1,0,1,1,0,1,0
température de séchage [contexte: table de fabrication],0,0,1,0,1,0,0
résine de résistance à l'état humide (pae) [contexte: pompe B],0,0,0,0,1,0,0
soude caustique (naoh) [contexte: cuvier de mélange],0,1,0,0,0,0,0
opacité [contexte: bobineuse],0,1,1,0,1,0,1
sulfate d'aluminium (alun) [contexte: cuvier machine],0,0,0,0,0,0,1
soude caustique (naoh) [contexte: caisse de tête],1,0,0,1,0,0,1
pâte kraft blanchie de feuillus (bhkp) [contexte: station de dosage],1,0,1,0,0,0,0
biocide non-oxydant [contexte: pompe A],1,0,0,0,0,0,0
biocide ratio [contexte: zone de raffinage],0,0,1,1,1,1,0
pac [contexte: cuvier de mélange],0,0,0,0,0,0,0
fongicide [contexte: table de fabrication],0,0,0,1,0,1,0
porosité gurley [contexte: pompe A],0,0,0,0,0,0,0
colorant bleu direct [contexte: circuit long],0,0,1,1,1,0,0
agent de collage akd [contexte: urgence],0,0,1,0,0,0,0
defoamer 1 (afranil) [contexte: pompe B],1,1,1,1,0,1,0
anti-mousse silicone [contexte: ],0,0,1,0,1,0,0
fiber ratio [contexte: circuit long],0,0,0,0,0,0,1
amidon oxydé [contexte: urgence],0,1,1,0,0,0,0
soude caustique (naoh) [contexte: stockage intermédiaire],1,0,1,0,0,1,0
flocon pulp ratio [contexte: sécherie],0,0,0,0,0,0,0
microparticules de silice [contexte: sécherie],0,0,1,0,1,0,0
potentiel zeta [contexte: section des presses],1,0,1,0,0,0,0
defoamer 2 (erol) [contexte: pompe A],0,0,0,1,0,0,0
microparticules de silice [contexte: cuvier de mélange],0,0,0,1,0,0,0
prestige cleaning aids ratio (prestige) [contexte: stockage intermédiaire],0,1,1,1,0,1,0
fongicide [contexte: section des presses],1,0,0,0,0,0,0
pression des presses [contexte: pompe B],1,1,1,1,0,0,0
acide sulfurique [contexte: bac à eaux blanches],0,0,1,0,0,0,0
potentiel zeta [contexte: ligne principale],0,1,0,0,1,0,0
température de séchage [contexte: silo à pâte],1,0,1,0,0,0,0
pac [contexte: pompe A],0,0,1,0,0,0,0
porosité gurley [contexte: sécherie],0,1,0,0,0,0,0
rugosité bendtsen [contexte: station de dosage],1,0,1,1,1,0,0
pâte désencrée (dip) [contexte: cuvier de cassés],0,0,0,1,0,0,0
standard pulp ratio [contexte: zone de raffinage],0,0,0,0,0,0,1
ph de caisse de tête [contexte: ],0,0,1,1,0,0,1
résine de résistance à l'état humide (pae) [contexte: bobineuse],0,0,1,0,0,1,0
agent de collage akd [contexte: caisse de tête],0,0,0,0,0,0,0
biocide ratio [contexte: station de dosage],0,0,1,0,0,1,0
bentonite [contexte: cuvier de mélange],0,0,0,0,0,0,0
pâte recyclée (occ) [contexte: silo à pâte],0,0,0,1,0,0,0
potentiel zeta [contexte: pompe A],0,0,0,1,1,0,1
conductivité [contexte: zone aspirante],0,0,0,0,0,0,1
sulfate d'aluminium (alun) [contexte: v2],1,0,1,0,0,1,0
eau de dilution [contexte: pompe de transfert],0,0,0,1,0,0,0
pâte recyclée (occ) [contexte: ],1,0,1,0,0,0,1
grammage cible [contexte: pompe B],1,0,0,0,0,0,0
potentiel zeta [contexte: pompe B],0,1,0,0,1,0,0
ph de caisse de tête [contexte: circuit long],0,0,0,0,0,0,1
indice de déchirement [contexte: zone de raffinage],0,1,0,1,0,0,0
amidon oxydé [contexte: caisse de tête],1,1,0,0,0,0,0
amidon natif de maïs [contexte: boucle de régulation],1,0,0,0,0,0,1
biocide non-oxydant [contexte: préparation de la pâte],1,0,0,1,0,0,1
ph de caisse de tête [contexte: pompe A],0,0,0,1,0,1,0
dioxyde de titane (tio2) [contexte: sécherie],0,1,0,0,0,0,1
kaolin calciné [contexte: bac à eaux blanches],0,1,0,0,0,0,0
azurant optique (oba) [contexte: cuvier machine],0,0,0,0,0,0,0
ph de caisse de tête [contexte: pompe de transfert],0,0,0,0,0,0,0
bentonite [contexte: station de dosage],1,0,0,1,0,1,0
defoamer 1 (afranil) [contexte: pompe de transfert],0,0,0,0,0,0,0
porosité gurley [contexte: v2],0,1,0,0,1,0,1
humidité finale [contexte: v2],1,1,1,1,0,1,0
azurant optique (oba) [contexte: pompe A],0,1,1,0,1,0,0
sulfate d'aluminium (alun) [contexte: zone de raffinage],0,0,1,0,1,1,0
copes de bois [contexte: cuvier de cassés],0,1,0,0,0,0,0
polymère de rétention cationique [contexte: épurateur],0,1,0,1,0,1,0
température de séchage [contexte: pompe de transfert],0,0,1,0,0,0,1
acide sulfurique [contexte: hydrocyclone],0,0,0,0,0,0,0
epaisseur (caliper) [contexte: préparation de la pâte],0,1,1,1,0,0,0
indice de déchirement [contexte: hydrocyclone],0,1,0,0,0,1,0
retention aids ratio [contexte: boucle de régulation],0,0,1,0,0,0,0
agent de collage akd [contexte: préparation de la pâte],0,0,0,0,0,1,1
pâte recyclée (occ) [contexte: boucle de régulation],1,0,0,0,0,0,0
pâte mécanique (tmp) [contexte: bac à eaux blanches],0,0,0,0,0,0,0
résine de résistance à l'état humide (pae) [contexte: boucle de régulation],0,1,1,0,1,0,1
pulp ratio [contexte: cuvier de mélange],0,0,0,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: pompe A],1,1,0,0,0,0,0
concentration de la pâte (consistance) [contexte: table de fabrication],0,1,0,1,0,0,0
epaisseur (caliper) [contexte: station de dosage],0,0,0,0,1,0,0
agent de collage akd [contexte: ligne principale],1,0,1,1,0,0,0
agent de collage colophane [contexte: section des presses],0,1,1,1,1,1,0
vitesse machine [contexte: caisse de tête],0,0,1,0,0,0,0
porosité gurley [contexte: silo à pâte],1,0,0,0,0,0,0
size press [contexte: sécherie],0,1,0,0,0,0,0
opacité [contexte: pompe de transfert],0,0,0,0,0,0,0
concentration de la pâte (consistance) [contexte: station de dosage],0,0,1,0,0,0,0
flocon pulp ratio [contexte: cuvier de mélange],1,0,0,0,1,0,0
concentration de la pâte (consistance) [contexte: pompe B],0,0,1,1,0,0,0
humidité finale [contexte: stockage intermédiaire],0,0,0,0,1,1,0
kaolin calciné [contexte: pompe A],1,0,1,0,0,0,0
dispersant synthétique [contexte: zone aspirante],0,0,1,1,0,0,1
size press [contexte: table de fabrication],0,1,1,0,0,0,0
agent de collage colophane [contexte: pompe de transfert],0,0,1,1,0,1,0
retention aids ratio [contexte: caisse de tête],0,0,0,0,0,1,0
bentonite [contexte: bobineuse],1,1,0,0,0,0,0
size press [contexte: préparation de la pâte],1,0,0,1,1,0,0
microparticules de silice [contexte: circuit court],1,1,1,1,0,0,0
microparticules de silice [contexte: station de dosage],1,0,0,0,0,0,0
size press [contexte: pompe B],0,1,0,0,0,1,0
humidité finale [contexte: pompe de transfert],0,0,0,0,0,1,1
krofta polymer ratio [contexte: pompe B],0,0,0,0,0,0,0
potentiel zeta [contexte: boucle de régulation],0,0,0,0,0,0,0
indice d'éclatement (burst) [contexte: stockage intermédiaire],0,0,0,1,0,0,0
humidité finale [contexte: caisse de tête],0,0,1,0,0,0,0
concentration de la pâte (consistance) [contexte: pompe A],0,0,0,1,0,0,0
bentonite [contexte: section des presses],0,0,0,0,1,0,1
fongicide [contexte: caisse de tête],1,0,0,1,0,0,0
polymère de rétention cationique [contexte: silo à pâte],1,0,0,0,1,0,0
humidité finale [contexte: boucle de régulation],0,1,1,0,0,0,1
microparticules de silice [contexte: ],0,1,0,0,0,0,0
fiber ratio [contexte: zone aspirante],1,0,0,0,0,0,0
standard pulp ratio [contexte: v2],0,1,1,0,0,0,1
bentonite [contexte: urgence],0,0,0,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: v2],1,0,0,0,1,0,0
fongicide [contexte: bac à eaux blanches],0,0,0,1,1,1,0
soude caustique (naoh) [contexte: silo à pâte],0,1,0,0,0,1,0
biocide non-oxydant [contexte: cuvier de cassés],0,0,0,0,0,0,0
flocon pulp ratio [contexte: hydrocyclone],1,0,0,1,0,0,1
agent de contrôle de la poix (talc) [contexte: v2],1,0,0,0,0,0,1
dioxyde de titane (tio2) [contexte: table de fabrication],0,1,0,1,0,0,0
pâte désencrée (dip) [contexte: cuvier machine],0,0,1,0,1,0,0
biocide oxydant [contexte: pompe B],0,1,0,0,0,1,0
humidité finale [contexte: sécherie],0,0,0,1,1,0,0
amidon oxydé [contexte: zone aspirante],1,0,0,1,0,0,0
standard pulp ratio [contexte: stockage intermédiaire],0,0,0,1,0,0,0
blancheur iso [contexte: cuvier de cassés],0,0,0,0,1,0,0
colorant bleu direct [contexte: caisse de tête],0,0,1,0,0,1,0
size press [contexte: stockage intermédiaire],1,0,0,0,0,0,0
dioxyde de titane (tio2) [contexte: cuvier de cassés],0,0,0,1,0,0,0
rugosité bendtsen [contexte: section des presses],0,1,1,1,1,0,1
polymère de rétention cationique [contexte: urgence],0,1,1,0,0,0,0
pulp ratio [contexte: circuit court],0,1,0,0,0,0,0
acide sulfurique [contexte: cuvier machine],1,0,1,1,0,0,0
starch cationic ratio [contexte: bac à eaux blanches],0,1,0,0,0,0,0
pâte recyclée (occ) [contexte: épurateur],0,0,1,0,1,0,0
prestige cleaning aids ratio (prestige) [contexte: cuvier de mélange],0,1,0,0,0,1,1
carbonate de calcium (gcc) [contexte: circuit court],0,0,1,0,0,1,0
indice de déchirement [contexte: table de fabrication],0,0,1,1,0,0,0
pâte recyclée (occ) [contexte: section des presses],0,0,0,0,0,1,0
opacité [contexte: circuit long],0,0,0,1,0,0,0
indice de déchirement [contexte: ],0,0,0,0,0,0,0
conductivité [contexte: ligne principale],0,0,0,0,1,0,1
azurant optique (oba) [contexte: table de fabrication],0,0,0,1,0,0,0
agent collage asa [contexte: silo à pâte],1,1,1,0,0,1,1
pression des presses [contexte: ligne principale],0,1,0,0,1,1,0
colorant jaune basique [contexte: cuvier de cassés],0,0,0,0,0,0,1
kaolin calciné [contexte: section des presses],0,0,0,0,0,0,0
fiber ratio [contexte: ligne principale],1,0,0,0,0,0,0
grammage cible [contexte: préparation de la pâte],0,0,1,0,1,0,1
pâte recyclée (occ) [contexte: cuvier machine],0,0,0,1,0,0,0
résine de résistance à l'état humide (pae) [contexte: cuvier machine],1,0,0,0,1,0,0
anti-mousse à base d'huile [contexte: silo à pâte],0,0,0,0,1,0,0
soude caustique (naoh) [contexte: station de dosage],0,1,0,0,0,0,1
anti-mousse silicone [contexte: silo à pâte],1,0,1,1,0,0,0
agent de contrôle de la poix (talc) [contexte: zone aspirante],1,0,0,1,0,0,1
opacité [contexte: stockage intermédiaire],0,0,0,0,0,1,0
epaisseur (caliper) [contexte: v2],1,0,0,0,0,1,0
potentiel zeta [contexte: sécherie],0,0,0,0,1,0,0
agent de contrôle de la poix (talc) [contexte: station de dosage],0,1,0,1,0,0,0
flocon pulp ratio [contexte: préparation de la pâte],1,0,0,0,0,1,0
biocide non-oxydant [contexte: ],0,1,1,1,0,1,1
vitesse machine [contexte: section des presses],0,0,0,0,0,0,0
biocide oxydant [contexte: bac à eaux blanches],0,1,0,0,1,0,1
pulp ratio [contexte: stockage intermédiaire],0,0,0,1,1,0,0
azurant optique (oba) [contexte: ],0,0,0,0,0,0,1
grammage cible [contexte: ligne principale],0,0,1,0,0,0,0
fongicide [contexte: ligne principale],0,1,0,0,0,0,1
résine de résistance à l'état humide (pae) [contexte: hydrocyclone],1,0,0,0,1,0,0
anti-mousse à base d'huile [contexte: préparation de la pâte],1,0,0,0,0,0,1
sulfate d'aluminium (alun) [contexte: ligne principale],0,0,0,0,0,0,1
fongicide [contexte: cuvier machine],1,0,0,0,0,0,0
opacité [contexte: cuvier machine],0,0,0,0,0,0,0
