texte,label_fluting,label_pm2_kraft,label_pm2_kraft_export,label_pm3_fluting,label_sotikraft,label_test_color,label_testliner
blancheur iso [contexte: pompe B],1,0,0,0,0,1,0
azurant optique (oba) [contexte: stockage intermédiaire],0,0,0,0,0,0,0
biocide oxydant [contexte: urgence],0,0,1,0,0,1,0
pâte kraft blanchie de résineux (nbsk) [contexte: zone de raffinage],0,0,0,1,0,1,0
pac [contexte: bobineuse],0,0,0,0,0,0,0
concentration de la pâte (consistance) [contexte: v2],1,0,1,0,0,1,0
krofta polymer ratio [contexte: cuvier machine],0,1,0,0,0,1,0
biocide non-oxydant [contexte: table de fabrication],1,0,0,0,1,0,0
pulp ratio [contexte: table de fabrication],1,1,1,0,0,0,0
retention aids ratio [contexte: table de fabrication],0,1,0,0,0,1,1
anti-mousse à base d'huile [contexte: station de dosage],1,0,0,0,0,0,1
flocon pulp ratio [contexte: silo à pâte],0,0,1,0,1,0,0
sulfate d'aluminium (alun) [contexte: pompe B],0,0,0,0,1,1,0
soude caustique (naoh) [contexte: pompe A],1,0,0,0,1,0,0
polymère de rétention cationique [contexte: ligne principale],1,1,1,1,0,0,0
agent de collage akd [contexte: pompe B],0,0,0,1,0,0,0
conductivité [contexte: caisse de tête],0,0,1,1,0,1,0
fiber ratio [contexte: section des presses],0,0,0,0,1,0,0
polymère de rétention cationique [contexte: pompe B],0,0,0,0,1,0,1
blancheur iso [contexte: préparation de la pâte],0,0,0,1,0,0,1
starch cationic ratio [contexte: stockage intermédiaire],0,0,0,1,0,0,1
vitesse machine [contexte: bac à eaux blanches],0,0,0,0,0,1,1
pression des presses [contexte: zone aspirante],0,1,0,0,0,1,0
colorant bleu direct [contexte: stockage intermédiaire],0,0,0,0,0,0,1
demande chimique en oxygène (dco) [contexte: zone aspirante],0,1,0,0,1,0,0
demande chimique en oxygène (dco) [contexte: station de dosage],0,0,0,1,1,0,1
amidon natif de maïs [contexte: caisse de tête],0,0,0,0,0,0,0
anti-mousse silicone [contexte: pompe de transfert],0,0,0,0,0,0,0
agent de contrôle de la poix (talc) [contexte: cuvier de cassés],0,1,0,0,1,0,0
pression des presses [contexte: bobineuse],1,0,0,0,0,0,0
fongicide [contexte: bobineuse],0,1,0,0,0,0,1
rugosité bendtsen [contexte: pompe A],0,0,0,0,0,0,0
carbonate de calcium (gcc) [contexte: cuvier de cassés],0,0,1,0,0,0,0
kaolin calciné [contexte: urgence],0,1,0,0,0,1,0
agent de collage colophane [contexte: zone de raffinage],0,0,1,0,0,0,0
retention aids ratio [contexte: pompe de transfert],0,0,0,0,1,0,0
résine de résistance à sec [contexte: pompe A],0,0,1,1,0,0,0
defoamer 2 (erol) [contexte: station de dosage],0,1,0,0,0,0,1
microparticules de silice [contexte: table de fabrication],1,0,0,1,0,1,0
defoamer 1 (afranil) [contexte: sécherie],0,0,0,0,1,0,0
colorant rouge acide [contexte: boucle de régulation],0,1,0,0,0,0,0
conductivité [contexte: épurateur],0,1,1,0,0,0,1
température de séchage [contexte: stockage intermédiaire],0,0,1,0,1,0,0
vitesse machine [contexte: stockage intermédiaire],1,0,0,1,0,0,0
carbonate de calcium (gcc) [contexte: v2],0,0,1,1,0,1,0
azurant optique (oba) [contexte: cuvier de cassés],0,0,0,0,1,0,0
flocon pulp ratio [contexte: urgence],0,0,0,0,0,1,0
eau de dilution [contexte: boucle de régulation],0,0,0,0,1,0,0
pac [contexte: section des presses],0,0,0,0,0,0,0
amidon natif de maïs [contexte: section des presses],0,0,0,1,0,1,1
agent de collage akd [contexte: silo à pâte],0,1,0,0,1,0,0
potentiel zeta [contexte: ],0,0,1,0,0,0,0
vitesse machine [contexte: cuvier machine],0,1,0,1,0,1,0
agent collage asa [contexte: hydrocyclone],0,0,1,0,1,1,0
sulfate d'aluminium (alun) [contexte: pompe de transfert],1,0,0,0,0,1,0
blancheur iso [contexte: hydrocyclone],0,0,0,0,0,0,0
pâte mécanique (tmp) [contexte: ligne principale],0,1,0,0,1,0,0
azurant optique (oba) [contexte: bac à eaux blanches],0,0,0,0,1,0,0
dispersant synthétique [contexte: circuit court],1,1,0,1,0,0,0
defoamer 1 (afranil) [contexte: urgence],0,1,0,0,0,1,0
agent de collage colophane [contexte: cuvier machine],0,1,0,0,0,0,1
defoamer 2 (erol) [contexte: bobineuse],1,0,0,0,0,0,1
indice de déchirement [contexte: v2],0,0,0,1,0,0,1
agent de collage akd [contexte: bobineuse],1,0,0,0,0,0,0
grammage cible [contexte: pompe A],0,0,0,1,1,1,0
starch cationic ratio [contexte: préparation de la pâte],0,1,0,0,0,0,0
carbonate de calcium (gcc) [contexte: table de fabrication],0,1,0,0,0,0,0
agent de contrôle de la poix (talc) [contexte: stockage intermédiaire],0,0,0,0,0,0,0
agent de collage colophane [contexte: ],0,0,1,0,1,0,1
conductivité [contexte: hydrocyclone],0,0,0,0,0,0,0
biocide ratio [contexte: sécherie],1,0,1,0,0,0,1
opacité [contexte: circuit court],0,0,1,0,0,0,0
eau de dilution [contexte: section des presses],1,1,0,0,0,0,0
pac [contexte: urgence],0,0,0,0,0,0,1
pâte recyclée (occ) [contexte: table de fabrication],1,0,1,0,0,0,1
eau de dilution [contexte: bobineuse],1,1,0,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: pompe de transfert],1,1,0,1,0,0,0
agent collage asa [contexte: caisse de tête],0,0,0,0,0,0,0
anti-mousse à base d'huile [contexte: cuvier machine],0,1,0,1,0,0,0
pâte recyclée (occ) [contexte: urgence],0,0,0,0,1,1,0
dispersant synthétique [contexte: cuvier machine],0,1,0,0,1,0,0
epaisseur (caliper) [contexte: caisse de tête],0,1,1,0,0,0,0
agent collage asa [contexte: boucle de régulation],0,0,0,0,0,1,1
prestige cleaning aids ratio (prestige) [contexte: hydrocyclone],0,0,1,0,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: cuvier machine],1,0,0,0,0,0,0
température de séchage [contexte: épurateur],0,1,1,0,0,0,0
bentonite [contexte: stockage intermédiaire],0,0,1,0,0,0,1
amidon natif de maïs [contexte: station de dosage],0,1,0,0,1,0,1
amidon oxydé [contexte: pompe B],1,0,0,1,0,0,0
bentonite [contexte: cuvier de cassés],0,0,0,0,0,0,1
porosité gurley [contexte: hydrocyclone],0,0,0,0,1,0,0
blancheur iso [contexte: ligne principale],1,0,1,0,0,0,0
indice de déchirement [contexte: ligne principale],1,0,0,1,0,1,1
conductivité [contexte: table de fabrication],0,0,1,0,0,0,0
biocide oxydant [contexte: épurateur],1,0,0,0,0,0,0
agent de collage akd [contexte: station de dosage],0,0,0,0,0,0,0
humidité finale [contexte: ligne principale],1,0,1,0,1,0,0
colorant jaune basique [contexte: v2],0,0,0,1,0,0,0
vitesse machine [contexte: épurateur],0,0,0,0,0,1,0
standard pulp ratio [contexte: circuit long],0,0,1,1,0,0,1
blancheur iso [contexte: pompe A],0,0,0,0,1,0,0
dioxyde de titane (tio2) [contexte: cuvier machine],0,0,0,0,0,1,0
température de séchage [contexte: bac à eaux blanches],0,0,0,0,1,0,0
soude caustique (naoh) [contexte: table de fabrication],0,0,0,0,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: cuvier de cassés],0,1,1,1,1,0,0
microparticules de silice [contexte: zone aspirante],0,1,0,0,0,0,1
defoamer 2 (erol) [contexte: zone aspirante],0,1,0,0,0,0,0
agent de collage colophane [contexte: ligne principale],0,0,0,0,0,0,0
copes de bois [contexte: v2],1,0,0,0,0,0,0
rugosité bendtsen [contexte: préparation de la pâte],0,0,1,0,0,0,1
dioxyde de titane (tio2) [contexte: urgence],1,0,0,0,0,0,0
prestige cleaning aids ratio (prestige) [contexte: cuvier machine],1,0,0,0,0,0,1
krofta polymer ratio [contexte: boucle de régulation],0,1,0,1,0,0,1
rugosité bendtsen [contexte: stockage intermédiaire],0,0,0,0,1,0,0
sulfate d'aluminium (alun) [contexte: préparation de la pâte],1,0,0,0,0,1,0
defoamer 1 (afranil) [contexte: circuit long],1,1,1,0,1,0,0
agent de collage colophane [contexte: station de dosage],0,1,0,0,1,0,1
agent de collage akd [contexte: zone de raffinage],0,1,0,0,0,0,0
colorant rouge acide [contexte: épurateur],1,0,1,0,0,0,0
defoamer 2 (erol) [contexte: hydrocyclone],1,0,0,0,0,0,1
résine de résistance à l'état humide (pae) [contexte: pompe de transfert],1,1,1,0,1,0,1
defoamer 1 (afranil) [contexte: bobineuse],1,0,0,0,0,0,0
agent de collage akd [contexte: cuvier de mélange],0,0,0,1,0,0,0
colorant jaune basique [contexte: épurateur],1,0,0,1,0,0,0
flocon pulp ratio [contexte: bac à eaux blanches],0,1,1,0,1,0,1
defoamer 1 (afranil) [contexte: zone de raffinage],0,0,0,1,0,0,0
pâte mécanique (tmp) [contexte: caisse de tête],0,0,0,0,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: caisse de tête],0,0,0,1,0,1,0
pression des presses [contexte: boucle de régulation],0,0,0,0,0,0,0
soude caustique (naoh) [contexte: bobineuse],0,1,0,0,1,1,0
azurant optique (oba) [contexte: zone de raffinage],0,1,0,0,0,0,0
colorant bleu direct [contexte: cuvier machine],1,1,1,1,1,1,0
concentration de la pâte (consistance) [contexte: cuvier machine],0,1,0,0,0,0,0
epaisseur (caliper) [contexte: boucle de régulation],0,0,1,1,0,0,0
anti-mousse silicone [contexte: ligne principale],0,0,0,1,0,0,0
agent de collage colophane [contexte: table de fabrication],0,1,0,0,1,0,0
potentiel zeta [contexte: cuvier de mélange],0,1,0,0,0,0,0
microparticules de silice [contexte: v2],0,0,1,0,0,0,0
pulp ratio [contexte: sécherie],0,0,0,0,0,0,0
defoamer 2 (erol) [contexte: préparation de la pâte],0,1,0,0,1,0,0
krofta polymer ratio [contexte: ligne principale],0,0,0,0,0,1,1
ph de caisse de tête [contexte: zone de raffinage],0,1,0,0,0,0,0
starch cationic ratio [contexte: station de dosage],0,0,0,0,1,1,1
dispersant synthétique [contexte: silo à pâte],0,0,0,1,0,0,0
krofta polymer ratio [contexte: stockage intermédiaire],1,0,0,0,0,0,1
opacité [contexte: boucle de régulation],0,1,0,0,0,0,0
blancheur iso [contexte: circuit court],0,0,0,0,0,1,0
standard pulp ratio [contexte: hydrocyclone],1,0,0,0,1,0,0
amidon oxydé [contexte: station de dosage],1,0,1,0,1,0,0
opacité [contexte: sécherie],1,0,1,0,0,1,1
amidon natif de maïs [contexte: circuit court],0,0,1,0,0,0,0
sulfate d'aluminium (alun) [contexte: table de fabrication],1,0,0,1,1,1,0
size press [contexte: v2],0,1,0,0,0,1,0
pâte désencrée (dip) [contexte: boucle de régulation],0,0,0,0,0,1,1
anti-mousse silicone [contexte: zone de raffinage],0,0,1,1,1,1,0
size press [contexte: épurateur],1,0,0,0,0,0,1
fiber ratio [contexte: bac à eaux blanches],0,0,0,1,0,0,1
pâte désencrée (dip) [contexte: circuit long],0,0,0,0,0,1,1
potentiel zeta [contexte: zone de raffinage],0,0,0,1,1,0,0
microparticules de silice [contexte: bobineuse],1,0,0,0,0,1,0
kaolin calciné [contexte: v2],0,0,0,0,1,0,0
rugosité bendtsen [contexte: circuit long],0,0,0,0,1,0,0
amidon oxydé [contexte: pompe de transfert],0,0,0,0,0,0,1
defoamer 1 (afranil) [contexte: circuit court],0,0,0,0,0,0,0
eau de dilution [contexte: sécherie],0,0,0,0,0,0,0
grammage cible [contexte: station de dosage],0,1,1,0,0,0,0
rugosité bendtsen [contexte: urgence],0,0,0,0,0,0,0
concentration de la pâte (consistance) [contexte: section des presses],0,0,0,0,1,0,1
flocon pulp ratio [contexte: pompe de transfert],1,0,0,0,0,0,1
kaolin calciné [contexte: cuvier machine],0,0,0,1,0,0,1
carbonate de calcium (gcc) [contexte: section des presses],0,0,0,1,0,1,0
indice d'éclatement (burst) [contexte: épurateur],0,0,0,1,0,0,0
blancheur iso [contexte: ],1,1,0,0,0,0,1
anti-mousse silicone [contexte: caisse de tête],0,0,0,0,1,0,0
ph de caisse de tête [contexte: hydrocyclone],0,0,0,0,0,0,1
grammage cible [contexte: cuvier de cassés],0,0,0,0,0,1,0
defoamer 2 (erol) [contexte: sécherie],0,0,0,0,0,0,0
carbonate de calcium (gcc) [contexte: ],0,0,1,1,1,0,0
amidon oxydé [contexte: ],0,1,0,0,0,0,0
demande chimique en oxygène (dco) [contexte: pompe de transfert],0,0,1,0,1,1,0
demande chimique en oxygène (dco) [contexte: section des presses],1,1,0,1,0,1,0
agent collage asa [contexte: urgence],0,0,1,0,1,0,0
conductivité [contexte: cuvier de cassés],0,1,0,0,1,0,0
agent de contrôle de la poix (talc) [contexte: caisse de tête],0,0,0,0,0,0,0
pac [contexte: bac à eaux blanches],0,0,0,0,1,1,0
colorant jaune basique [contexte: préparation de la pâte],1,0,0,0,0,1,0
prestige cleaning aids ratio (prestige) [contexte: urgence],0,1,0,0,0,0,0
agent de collage akd [contexte: boucle de régulation],0,0,0,0,0,0,0
colorant rouge acide [contexte: v2],1,0,0,0,1,1,0
rugosité bendtsen [contexte: zone de raffinage],0,0,1,0,0,1,0
agent de contrôle de la poix (talc) [contexte: hydrocyclone],0,0,1,0,1,1,0
agent de collage colophane [contexte: silo à pâte],0,0,0,0,1,0,0
acide sulfurique [contexte: v2],1,0,0,0,0,1,0
température de séchage [contexte: hydrocyclone],0,0,0,0,0,1,1
defoamer 1 (afranil) [contexte: v2],0,1,0,0,0,0,1
colorant rouge acide [contexte: cuvier de cassés],0,0,0,0,0,0,1
size press [contexte: pompe de transfert],0,1,0,0,1,1,0
vitesse machine [contexte: urgence],1,0,0,0,1,1,0
bentonite [contexte: préparation de la pâte],1,0,0,0,0,0,1
acide sulfurique [contexte: circuit court],0,0,0,1,0,0,0
soude caustique (naoh) [contexte: urgence],0,0,0,0,0,1,0
anti-mousse à base d'huile [contexte: bobineuse],1,0,0,0,0,0,1
ph de caisse de tête [contexte: cuvier de cassés],0,0,0,0,1,1,1
acide sulfurique [contexte: épurateur],0,0,0,0,1,0,1
porosité gurley [contexte: ],0,1,0,0,0,0,1
azurant optique (oba) [contexte: section des presses],0,0,0,0,0,0,0
eau de dilution [contexte: ligne principale],1,0,0,1,0,0,1
demande chimique en oxygène (dco) [contexte: ],0,0,0,0,0,1,0
résine de résistance à sec [contexte: cuvier machine],0,1,0,1,0,0,0
size press [contexte: cuvier de cassés],0,0,0,1,0,1,0
humidité finale [contexte: section des presses],0,0,0,0,0,1,0
flocon pulp ratio [contexte: zone de raffinage],0,0,0,0,0,0,0
standard pulp ratio [contexte: circuit court],0,0,1,0,0,0,0
krofta polymer ratio [contexte: pompe A],0,0,0,0,0,1,0
defoamer 1 (afranil) [contexte: section des presses],0,0,1,0,1,0,0
pac [contexte: boucle de régulation],0,0,0,1,0,1,0
krofta polymer ratio [contexte: bac à eaux blanches],0,0,0,0,0,0,1
rugosité bendtsen [contexte: v2],0,0,0,1,1,1,0
colorant rouge acide [contexte: hydrocyclone],0,0,1,0,0,0,0
indice d'éclatement (burst) [contexte: bac à eaux blanches],0,0,0,0,0,0,0
azurant optique (oba) [contexte: zone aspirante],1,0,1,0,0,0,0
biocide ratio [contexte: cuvier machine],0,0,0,0,0,0,0
polymère de rétention cationique [contexte: circuit court],0,0,1,0,0,1,0
biocide ratio [contexte: préparation de la pâte],0,1,0,1,1,1,1
pac [contexte: cuvier machine],0,0,0,0,1,0,0
pâte recyclée (occ) [contexte: ligne principale],0,0,0,0,1,1,1
fiber ratio [contexte: silo à pâte],0,0,0,0,0,1,0
defoamer 1 (afranil) [contexte: hydrocyclone],1,0,1,1,1,0,0
eau de dilution [contexte: hydrocyclone],1,1,0,0,1,0,0
concentration de la pâte (consistance) [contexte: préparation de la pâte],0,0,0,0,1,0,0
indice de déchirement [contexte: caisse de tête],0,0,0,1,0,1,0
agent collage asa [contexte: cuvier de cassés],0,0,0,0,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: pompe A],0,0,1,0,0,0,0
colorant jaune basique [contexte: zone aspirante],0,0,0,0,0,0,0
pression des presses [contexte: cuvier de mélange],0,1,0,0,0,0,0
azurant optique (oba) [contexte: préparation de la pâte],1,0,0,0,0,0,0
bentonite [contexte: sécherie],0,1,1,0,1,1,1
copes de bois [contexte: silo à pâte],0,0,0,1,0,0,1
agent de collage akd [contexte: cuvier de cassés],0,0,1,1,0,0,1
conductivité [contexte: station de dosage],0,0,0,0,0,1,0
standard pulp ratio [contexte: table de fabrication],0,0,1,0,0,0,0
amidon oxydé [contexte: cuvier de mélange],0,0,0,0,0,0,0
sulfate d'aluminium (alun) [contexte: stockage intermédiaire],0,0,0,0,0,1,0
résine de résistance à sec [contexte: urgence],0,0,1,0,0,0,0
biocide non-oxydant [contexte: sécherie],0,0,0,0,0,0,0
colorant jaune basique [contexte: zone de raffinage],1,0,0,0,0,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: pompe B],0,0,0,0,0,0,1
pac [contexte: v2],0,0,0,0,1,0,0
fiber ratio [contexte: boucle de régulation],0,1,0,0,0,0,1
résine de résistance à l'état humide (pae) [contexte: caisse de tête],0,0,1,0,0,0,0
agent collage asa [contexte: circuit long],0,0,0,0,1,0,0
acide sulfurique [contexte: ],0,0,1,0,1,1,1
résine de résistance à sec [contexte: section des presses],0,1,0,0,1,0,0
eau de dilution [contexte: ],0,0,0,0,1,0,1
fongicide [contexte: stockage intermédiaire],1,0,0,0,0,0,0
bentonite [contexte: table de fabrication],0,0,1,0,0,1,0
size press [contexte: zone de raffinage],0,1,0,1,0,0,0
colorant jaune basique [contexte: urgence],0,0,0,0,0,0,0
microparticules de silice [contexte: urgence],0,0,0,1,0,0,0
potentiel zeta [contexte: silo à pâte],0,0,0,0,0,0,0
pulp ratio [contexte: cuvier de cassés],0,0,1,0,0,0,0
demande chimique en oxygène (dco) [contexte: cuvier machine],0,0,1,0,0,0,0
pâte kraft blanchie de feuillus (bhkp) [contexte: boucle de régulation],0,1,0,1,0,0,0
amidon oxydé [contexte: section des presses],0,1,0,0,0,0,0
flocon pulp ratio [contexte: épurateur],0,0,0,1,1,0,0
defoamer 1 (afranil) [contexte: cuvier de cassés],0,0,0,1,1,0,0
size press [contexte: circuit court],1,0,0,1,0,0,0
sulfate d'aluminium (alun) [contexte: boucle de régulation],0,1,0,0,0,0,0
pâte désencrée (dip) [contexte: hydrocyclone],0,0,1,0,0,0,0
indice de déchirement [contexte: circuit long],0,0,0,0,0,0,1
indice d'éclatement (burst) [contexte: cuvier machine],1,1,1,0,0,0,0
blancheur iso [contexte: station de dosage],1,1,0,0,0,0,0
indice d'éclatement (burst) [contexte: cuvier de cassés],0,1,0,0,1,0,1
fongicide [contexte: sécherie],0,0,0,0,0,0,0
dioxyde de titane (tio2) [contexte: cuvier de mélange],0,0,0,1,0,0,0
indice de déchirement [contexte: zone aspirante],0,0,0,0,0,0,1
epaisseur (caliper) [contexte: cuvier machine],0,1,0,0,0,0,0
amidon oxydé [contexte: bac à eaux blanches],0,0,1,0,0,0,0
biocide ratio [contexte: cuvier de cassés],1,0,0,1,0,1,1
humidité finale [contexte: préparation de la pâte],0,1,1,1,1,0,1
amidon natif de maïs [contexte: pompe B],1,0,0,0,1,0,0
eau de dilution [contexte: circuit court],1,1,0,0,1,1,0
eau de dilution [contexte: cuvier machine],1,0,1,0,0,0,1
agent de collage colophane [contexte: pompe A],0,0,0,0,0,0,0
fongicide [contexte: zone de raffinage],0,0,0,1,0,1,1
colorant rouge acide [contexte: urgence],0,0,0,0,0,1,1
pâte désencrée (dip) [contexte: ],1,0,0,0,0,0,0
température de séchage [contexte: boucle de régulation],0,1,1,0,0,0,0
pulp ratio [contexte: station de dosage],0,0,0,0,0,0,0
polymère de rétention cationique [contexte: bobineuse],0,1,0,0,0,1,0
kaolin calciné [contexte: zone de raffinage],1,0,0,0,1,0,1
defoamer 2 (erol) [contexte: section des presses],0,0,0,0,0,0,0
amidon oxydé [contexte: circuit long],0,0,1,0,0,0,0
opacité [contexte: ligne principale],0,0,1,1,0,1,1
starch cationic ratio [contexte: cuvier de mélange],0,0,1,0,1,1,0
sulfate d'aluminium (alun) [contexte: section des presses],0,0,0,0,1,0,1
blancheur iso [contexte: silo à pâte],0,0,0,0,0,0,1
azurant optique (oba) [contexte: caisse de tête],1,1,1,1,0,0,0
eau de dilution [contexte: cuvier de cassés],0,0,1,1,0,1,0
pâte désencrée (dip) [contexte: v2],0,0,0,0,1,0,1
résine de résistance à sec [contexte: hydrocyclone],0,0,0,0,1,1,0
eau de dilution [contexte: préparation de la pâte],0,0,0,1,1,1,0
anti-mousse silicone [contexte: épurateur],1,0,0,0,0,0,0
pâte kraft blanchie de feuillus (bhkp) [contexte: stockage intermédiaire],0,1,0,1,1,0,0
pâte kraft blanchie de résineux (nbsk) [contexte: pompe de transfert],0,0,0,0,1,0,1
amidon natif de maïs [contexte: v2],0,0,1,0,0,0,1
indice de déchirement [contexte: urgence],0,0,0,0,1,0,0
conductivité [contexte: boucle de régulation],0,0,0,1,0,0,0
vitesse machine [contexte: ligne principale],0,0,1,1,0,0,0
porosité gurley [contexte: épurateur],0,0,1,0,0,0,0
microparticules de silice [contexte: ligne principale],0,0,1,1,0,1,0
soude caustique (naoh) [contexte: circuit long],0,0,0,0,0,0,0
copes de bois [contexte: hydrocyclone],0,0,0,0,0,0,1
soude caustique (naoh) [contexte: cuvier machine],0,0,1,0,1,0,0
dispersant synthétique [contexte: zone de raffinage],1,0,1,0,0,0,0
biocide non-oxydant [contexte: boucle de régulation],1,0,1,1,0,0,1
bentonite [contexte: caisse de tête],0,0,0,1,1,1,0
indice de déchirement [contexte: station de dosage],0,1,0,0,0,1,0
agent de collage colophane [contexte: épurateur],0,0,0,1,1,0,1
bentonite [contexte: cuvier machine],0,1,1,0,0,0,0
anti-mousse à base d'huile [contexte: table de fabrication],0,1,0,0,1,0,0
colorant jaune basique [contexte: pompe de transfert],0,0,0,0,0,0,0
pâte désencrée (dip) [contexte: section des presses],0,0,0,0,0,1,0
opacité [contexte: bac à eaux blanches],1,0,0,0,0,0,0
microparticules de silice [contexte: stockage intermédiaire],0,1,1,1,0,0,0
dioxyde de titane (tio2) [contexte: caisse de tête],1,0,0,0,1,1,0
dispersant synthétique [contexte: table de fabrication],0,0,1,1,1,0,0
colorant jaune basique [contexte: stockage intermédiaire],1,1,1,0,1,0,0
krofta polymer ratio [contexte: silo à pâte],0,0,0,0,0,1,1
biocide oxydant [contexte: ligne principale],0,0,0,0,0,0,0
grammage cible [contexte: caisse de tête],0,0,0,0,0,0,1
indice d'éclatement (burst) [contexte: section des presses],0,0,0,0,0,1,0
demande chimique en oxygène (dco) [contexte: urgence],1,0,0,1,1,1,0
blancheur iso [contexte: urgence],0,1,0,0,0,0,0
standard pulp ratio [contexte: cuvier machine],0,0,0,0,0,0,1
pâte kraft blanchie de résineux (nbsk) [contexte: épurateur],0,0,0,0,0,1,0
retention aids ratio [contexte: circuit long],1,0,0,0,0,0,0
colorant bleu direct [contexte: section des presses],0,0,0,0,0,0,0
